Date,Load
03/01/2025 07.00,75.6
03/01/2025 07.15,76.8
03/01/2025 07.30,72
03/01/2025 07.45,66
03/01/2025 08.00,75.6
03/01/2025 08.15,75.6
03/01/2025 08.30,73.2
03/01/2025 08.45,72
03/01/2025 09.00,69.6
03/01/2025 09.15,80.4
03/01/2025 09.30,76.8
03/01/2025 09.45,76.8
03/01/2025 10.00,76.8
03/01/2025 10.15,75.6
03/01/2025 10.30,85.2
03/01/2025 10.45,84
03/01/2025 11.00,90
03/01/2025 11.15,93.6
03/01/2025 11.30,93.6
03/01/2025 11.45,85.2
03/01/2025 12.00,74.4
03/01/2025 12.15,68.4
03/01/2025 12.30,84
03/01/2025 12.45,75.6
03/01/2025 13.00,72
03/01/2025 13.15,66
03/01/2025 13.30,67.2
03/01/2025 13.45,78
03/01/2025 14.00,75.6
03/01/2025 14.15,73.2
03/01/2025 14.30,78
03/01/2025 14.45,80.4
03/01/2025 15.00,70.8
03/01/2025 15.15,64.8
03/01/2025 15.30,66
03/01/2025 15.45,69.6
03/01/2025 16.00,75.6
03/01/2025 16.15,86.4
03/01/2025 16.30,74.4
03/01/2025 16.45,72
03/01/2025 17.00,60
03/01/2025 17.15,64.8
03/01/2025 17.30,56.4
03/01/2025 17.45,62.4
03/01/2025 18.00,64.8
03/01/2025 18.15,74.4
03/01/2025 18.30,69.6
03/01/2025 18.45,78
03/01/2025 19.00,74.4
03/01/2025 19.15,86.4
03/01/2025 19.30,78
03/01/2025 19.45,84
03/01/2025 20.00,79.2
03/01/2025 20.15,78
03/01/2025 20.30,70.8
03/01/2025 20.45,82.8
03/01/2025 21.00,80.4
03/01/2025 21.15,81.6
03/01/2025 21.30,84
03/01/2025 21.45,81.6
03/01/2025 22.00,81.6
03/01/2025 22.15,85.2
03/01/2025 22.30,74.4
03/01/2025 22.45,69.6
03/01/2025 23.00,69.6
03/01/2025 23.15,68.4
03/01/2025 23.30,64.8
03/01/2025 23.45,67.2
04/01/2025 00.00,73.2
04/01/2025 00.15,79.2
04/01/2025 00.30,78
04/01/2025 00.45,81.6
04/01/2025 01.00,75.6
04/01/2025 01.15,75.6
04/01/2025 01.30,81.6
04/01/2025 01.45,68.4
04/01/2025 02.00,66
04/01/2025 02.15,60
04/01/2025 02.30,60
04/01/2025 02.45,66
04/01/2025 03.00,67.2
04/01/2025 03.15,68.4
04/01/2025 03.30,69.6
04/01/2025 03.45,63.6
04/01/2025 04.00,64.8
04/01/2025 04.15,57.6
04/01/2025 04.30,54
04/01/2025 04.45,51.6
04/01/2025 05.00,60
04/01/2025 05.15,63.6
04/01/2025 05.30,66
04/01/2025 05.45,61.2
04/01/2025 06.00,61.2
04/01/2025 06.15,64.8
04/01/2025 06.30,61.2
04/01/2025 06.45,70.8
04/01/2025 07.00,75.6
04/01/2025 07.15,74.4
04/01/2025 07.30,84
04/01/2025 07.45,75.6
04/01/2025 08.00,75.6
04/01/2025 08.15,75.6
04/01/2025 08.30,81.6
04/01/2025 08.45,84
04/01/2025 09.00,91.2
04/01/2025 09.15,91.2
04/01/2025 09.30,97.2
04/01/2025 09.45,99.6
04/01/2025 10.00,97.2
04/01/2025 10.15,97.2
04/01/2025 10.30,92.4
04/01/2025 10.45,94.8
04/01/2025 11.00,97.2
04/01/2025 11.15,102
04/01/2025 11.30,99.6
04/01/2025 11.45,85.2
04/01/2025 12.00,84
04/01/2025 12.15,78
04/01/2025 12.30,82.8
04/01/2025 12.45,74.4
04/01/2025 13.00,74.4
04/01/2025 13.15,66
04/01/2025 13.30,62.4
04/01/2025 13.45,86.4
04/01/2025 14.00,84
04/01/2025 14.15,94.8
04/01/2025 14.30,86.4
04/01/2025 14.45,76.8
04/01/2025 15.00,80.4
04/01/2025 15.15,72
04/01/2025 15.30,66
04/01/2025 15.45,75.6
04/01/2025 16.00,74.4
04/01/2025 16.15,74.4
04/01/2025 16.30,74.4
04/01/2025 16.45,78
04/01/2025 17.00,76.8
04/01/2025 17.15,73.2
04/01/2025 17.30,68.4
04/01/2025 17.45,76.8
04/01/2025 18.00,74.4
04/01/2025 18.15,81.6
04/01/2025 18.30,81.6
04/01/2025 18.45,86.4
04/01/2025 19.00,75.6
04/01/2025 19.15,78
04/01/2025 19.30,80.4
04/01/2025 19.45,82.8
04/01/2025 20.00,80.4
04/01/2025 20.15,70.8
04/01/2025 20.30,74.4
04/01/2025 20.45,74.4
04/01/2025 21.00,61.2
04/01/2025 21.15,60
04/01/2025 21.30,67.2
04/01/2025 21.45,79.2
04/01/2025 22.00,75.6
04/01/2025 22.15,80.4
04/01/2025 22.30,85.2
04/01/2025 22.45,76.8
04/01/2025 23.00,75.6
04/01/2025 23.15,78
04/01/2025 23.30,76.8
04/01/2025 23.45,79.2
05/01/2025 00.00,81.6
05/01/2025 00.15,70.8
05/01/2025 00.30,60
05/01/2025 00.45,55.2
05/01/2025 01.00,57.6
05/01/2025 01.15,55.2
