Model,MSE,MAE,R2,LearningRate,InputSize,HiddenSize,NumLayers,SeqLength,WindowLength,PolyOrder,PolyOrder,MAPE,Accuracy
LSTM,354.6032107,13.34000578,0.959872395,0.001,1,2,4,128,0.2,11,3,51.72231991,48.27768009
LSTM,352.4765427,11.09151442,0.95937614,0.001,1,16,4,32,0.4,11,3,26.83658384,73.16341616
LSTM,357.8518212,11.15732287,0.958756625,0.001,1,16,4,32,0.5,11,3,37.81373298,62.18626702
LSTM,389.179382,13.9894806,0.95514604,0.001,1,4,4,32,0.3,11,3,48.81826281,51.18173719
LSTM,401.1021512,13.47151827,0.954610482,0.001,1,4,4,128,0.3,11,3,50.83964286,49.16035714
LSTM,408.2584357,12.55624944,0.953291243,0.001,1,2,4,64,0.1,11,3,46.82430716,53.17569284
LSTM,353.1955685,11.21746082,0.95929327,0.001,1,16,4,32,0.3,11,3,36.61865546,63.38134454
LSTM,616.7655312,11.24857959,0.930205585,0.001,1,16,4,128,0.5,11,3,26.92785952,73.07214048
LSTM,434.2015967,13.9714986,0.94995711,0.001,1,4,4,32,0.4,11,3,41.30639408,58.69360592
LSTM,441.4859318,15.50836002,0.950040574,0.001,1,2,4,128,0.3,11,3,65.90495111,34.09504889
LSTM,472.7043065,15.53063158,0.94650784,0.001,1,4,4,128,0.4,11,3,66.64675437,33.35324563
LSTM,526.0376859,13.5566224,0.939372756,0.001,1,2,2,32,0.2,11,3,51.56318905,48.43681095
LSTM,426.7297084,11.85101771,0.951710417,0.001,1,16,4,128,0.3,11,3,28.60947497,71.39052503
LSTM,567.4752474,12.28599924,0.935783372,0.001,1,16,4,128,0.2,11,3,24.47078539,75.52921461
LSTM,551.3231665,15.3652026,0.937611173,0.001,1,4,4,128,0.1,11,3,57.056572,42.943428
LSTM,537.4269552,13.76187451,0.939183696,0.001,1,16,4,128,0.4,11,3,30.77309771,69.22690229
LSTM,586.3256607,16.39815567,0.933650222,0.001,1,4,4,128,0.2,11,3,60.00464456,39.99535544
LSTM,601.3488973,14.59168117,0.931199807,0.001,1,2,2,64,0.2,11,3,64.32879098,35.67120902
LSTM,614.5852712,18.28099359,0.929167411,0.001,1,4,4,32,0.5,11,3,77.44011751,22.55988249
LSTM,550.6849893,14.39763027,0.936996253,0.001,1,16,4,64,0.4,11,3,37.67254235,62.32745765
LSTM,685.9413097,13.91709603,0.920943437,0.001,1,2,2,32,0.4,11,3,53.83719392,46.16280608
LSTM,687.1835209,16.8597124,0.921379486,0.001,1,4,4,64,0.4,11,3,60.5678959,39.4321041
LSTM,716.3199532,18.63149074,0.917442218,0.001,1,2,4,32,0.4,11,3,76.23200897,23.76799103
LSTM,743.8405033,17.29969563,0.915825529,0.001,1,4,2,128,0.4,11,3,63.60615566,36.39384434
LSTM,811.7418945,19.12740016,0.906444585,0.001,1,2,4,32,0.2,11,3,78.41637935,21.58362065
LSTM,848.2640122,19.63492877,0.902950303,0.001,1,4,4,64,0.3,11,3,73.87631717,26.12368283
LSTM,874.6490077,20.06288101,0.899931602,0.001,1,4,4,64,0.2,11,3,76.91830491,23.08169509
LSTM,904.7635438,20.60715681,0.897615157,0.001,1,2,4,128,0.5,11,3,77.83170133,22.16829867
LSTM,930.2959958,19.99978221,0.892780909,0.001,1,2,4,32,0.3,11,3,75.1721236,24.8278764
LSTM,999.1052165,20.64109403,0.886939266,0.001,1,4,4,128,0.5,11,3,78.08910671,21.91089329
LSTM,1020.80557,20.82181028,0.883209862,0.001,1,2,4,64,0.5,11,3,81.40147367,18.59852633
LSTM,1241.966114,23.22451419,0.857906933,0.001,1,4,4,64,0.5,11,3,76.51307774,23.48692226
LSTM,1920.108899,27.37251329,0.778702336,0.001,1,2,4,32,0.5,11,3,128.668556,-28.66855604
LSTM,8760.422811,82.09673749,-0.002278023,0.001,1,2,4,64,0.4,11,3,302.021175,-202.021175
LSTM,8859.983278,83.04007559,-0.002613337,0.001,1,2,4,128,0.4,11,3,305.1401473,-205.1401473
